id,matricula_discente,nombre_discente,apellido_paterno_discente,apellido_materno_discente,grado_escolar,plantel,CURP,RFC,cartilla_militar,generacion,sexo,fecha_nacimiento,nacionalidad,entidad_nacimiento,nombre_tutor,nombre_padre,nombre_madre,escuela_procedencia,tipo_escuela_procedencia,entidad_federativa_escuela,promedio_secundaria,promedio_bachillerato,foto,practica_deporte,nombre_deporte,nombre_entrenador,categoria,fecha_inicio,lugar,horario_deporte,asociacion,peso,estatura,tipo_sangre,padece_enfermedad,descripcion_enfermedad,problema_fisico,descripcion_problema,operacion_fisica,descripcion_operacion,tatuajes,pie_plano,lentes,carrera,promedio,foto_horario,fk_id_domicilio
1,1,nombre1,apellidoPaterno1,apellidoMaterno1,BACHILLERATO,CECYT,AAST770826MCHLNR69,AAST770825,SAML770826MCSNRT81,75 (2016 - 2022),Masculino,1998-12-15,Mexicano,PUEBLA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,PUEBLA,3.888708721,4.675588055,...,NO,Natacion,Demetrio Sanchis,Juvenil,2022-05-31,Ciudad de Mexico,Vespertino,,90.12322334,1.61053519,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,8.442188423,...,0
2,2015080213,nombre2,apellidoPaterno2,apellidoMaterno2,BACHILLERATO,CECYT,AAST770826MCHLNR69,AAST770826,SAML770826MCSNRT82,75 (2016 - 2022),Masculino,1998-12-16,Mexicano,MICHOACAN,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,MICHOACAN,3.195815813,4.151353556,...,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-01,Ciudad de Mexico,Matutino,,80.69990691,1.991006471,AB+,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,4.72698037,...,0
3,3,nombre3,apellidoPaterno3,apellidoMaterno3,BACHILLERATO,CECYT,AAST770826MCHLNR70,AAST770827,SAML770826MCSNRT83,75 (2016 - 2022),Femenino,1998-12-17,Mexicano,SINALOA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,SINALOA,6.898762918,9.329450647,...,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-06-02,Ciudad de Mexico,Matutino,,94.40575218,1.924253514,A-,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,9.260073118,...,0
4,4,nombre4,apellidoPaterno4,apellidoMaterno4,BACHILLERATO,CECYT,AAST770826MCHLNR71,AAST770828,SAML770826MCSNRT84,76 (2016 - 2022),Femenino,1998-12-18,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,CIUDAD DE MEXICO,9.433783158,1.520298135,,NO,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-03,Ciudad de Mexico,Matutino,,86.23974517,1.722993403,A-,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,8.232017648,,0
5,5,nombre5,apellidoPaterno5,apellidoMaterno5,BACHILLERATO,CECYT,AAST770826MCHLNR72,AAST770829,SAML770826MCSNRT85,77 (2016 - 2022),Masculino,1998-12-19,Mexicano,GUANAJUATO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,GUANAJUATO,4.502760064,3.53963558,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-04,Ciudad de Mexico,Matutino,,87.64890829,1.655244575,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,4.600744942,,0
6,6,nombre6,apellidoPaterno6,apellidoMaterno6,BACHILLERATO,CECYT,AAST770826MCHLNR73,AAST770830,SAML770826MCSNRT86,78 (2016 - 2022),Masculino,1998-12-20,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,SAN LUIS POTOSI,8.506258895,8.501747234,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-05,Ciudad de Mexico,Matutino,,90.10755806,1.895545907,AB+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,9.921019787,,0
7,7,nombre7,apellidoPaterno7,apellidoMaterno7,BACHILLERATO,CECYT,AAST770826MCHLNR74,AAST770831,SAML770826MCSNRT87,79 (2016 - 2022),Masculino,1998-12-21,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,VERACRUZ,9.067145736,7.291398657,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-06,Ciudad de Mexico,Matutino,,75.39145935,1.827547299,AB+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,6.055418656,,0
8,8,nombre8,apellidoPaterno8,apellidoMaterno8,BACHILLERATO,CECYT,AAST770826MCHLNR75,AAST770832,SAML770826MCSNRT88,80 (2016 - 2022),Masculino,1998-12-22,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MORELOS,2.06641607,4.938350343,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-07,Ciudad de Mexico,Matutino,,81.7575024,1.858756357,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,8.12157486,,0
9,9,nombre9,apellidoPaterno9,apellidoMaterno9,BACHILLERATO,CECYT,AAST770826MCHLNR76,AAST770833,SAML770826MCSNRT89,81 (2016 - 2022),Masculino,1998-12-23,Mexicano,HIDALGO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,HIDALGO,5.163341627,7.65909958,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-08,Ciudad de Mexico,Matutino,,84.33676429,1.735964776,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,1.780843712,,0
10,10,nombre10,apellidoPaterno10,apellidoMaterno10,BACHILLERATO,CECYT,AAST770826MCHLNR77,AAST770834,SAML770826MCSNRT90,82 (2016 - 2022),Masculino,1998-12-24,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,ESTADO DE MEXICO,3.972066425,7.041339955,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-09,Ciudad de Mexico,Vespertino,,86.64053425,1.920818915,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,3.548319075,,0
11,11,nombre11,apellidoPaterno11,apellidoMaterno11,BACHILLERATO,CECYT,AAST770826MCHLNR78,AAST770835,SAML770826MCSNRT91,83 (2016 - 2022),Masculino,1998-12-25,Mexicano,TLAXCALA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,TLAXCALA,3.104340839,0.390615766,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-10,Ciudad de Mexico,Vespertino,,76.35412524,1.948573057,O+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,5.379341365,,0
12,12,nombre12,apellidoPaterno12,apellidoMaterno12,BACHILLERATO,CECYT,AAST770826MCHLNR79,AAST770836,SAML770826MCSNRT92,84 (2016 - 2022),Masculino,1998-12-26,Mexicano,SINALOA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,SINALOA,0.054327925,7.503072386,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-11,Ciudad de Mexico,Vespertino,,91.57816377,1.772159809,O+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,6.536530189,,0
13,13,nombre13,apellidoPaterno13,apellidoMaterno13,BACHILLERATO,CECYT,AAST770826MCHLNR80,AAST770837,SAML770826MCSNRT93,85 (2016 - 2022),Femenino,1998-12-27,Mexicano,MICHOACAN,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,MICHOACAN,3.761648447,8.348713393,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-12,Ciudad de Mexico,Vespertino,,82.58983759,1.741056793,O+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,2.020282988,,0
14,14,nombre14,apellidoPaterno14,apellidoMaterno14,BACHILLERATO,CECYT,AAST770826MCHLNR81,AAST770838,SAML770826MCSNRT94,86 (2016 - 2022),Femenino,1998-12-28,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,ESTADO DE MEXICO,1.668861223,8.430336376,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-13,Ciudad de Mexico,Matutino,,87.05959747,1.624433303,O+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,5.446528544,,0
15,15,nombre15,apellidoPaterno15,apellidoMaterno15,BACHILLERATO,CECYT,AAST770826MCHLNR82,AAST770839,SAML770826MCSNRT95,87 (2016 - 2022),Masculino,1998-12-29,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,CIUDAD DE MEXICO,0.986423468,4.384033263,,NO,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-14,Ciudad de Mexico,Matutino,,93.50687727,1.910334892,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,4.030593355,,0
16,16,nombre16,apellidoPaterno16,apellidoMaterno16,BACHILLERATO,CECYT,AAST770826MCHLNR83,AAST770840,SAML770826MCSNRT96,88 (2016 - 2022),Masculino,1998-12-30,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,SAN LUIS POTOSI,4.138777692,2.852949509,,NO,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-15,Ciudad de Mexico,Matutino,,85.76621314,1.608260981,AB+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,2.263939458,,0
17,17,nombre17,apellidoPaterno17,apellidoMaterno17,BACHILLERATO,CECYT,AAST770826MCHLNR84,AAST770841,SAML770826MCSNRT97,89 (2016 - 2022),Masculino,1998-12-31,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,VERACRUZ,9.446129415,6.6020536,,NO,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-16,Ciudad de Mexico,Matutino,,93.9427609,1.98087342,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,0.313689611,,0
18,18,nombre18,apellidoPaterno18,apellidoMaterno18,BACHILLERATO,CECYT,AAST770826MCHLNR85,AAST770842,SAML770826MCSNRT98,90 (2016 - 2022),Masculino,1999-01-01,Mexicano,PUEBLA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,PUEBLA,3.433460112,6.902481203,,NO,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-17,Ciudad de Mexico,Matutino,,94.69686221,1.748325512,AB+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,2.921156406,,0
